Feature ID	Taxon
HQ643494.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_catenulatum
HQ643499.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_chondricola
HQ643513.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_conidiophorum
HQ643514.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_contiguanum
HQ643515.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_cryptoirregulare
HQ643517.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_cylindrosporum
HQ643518.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_cystogenes
HQ643519.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_debaryanum
HQ643522.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_deliense
HQ643524.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_diclinum
HQ643525.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Elongisporangium;s__Elongisporangium_dimorphum
HQ643527.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_dissimile
HQ643531.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_echinulatum
HQ643535.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_erinaceum
HQ643539.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_flevoense
HQ643540.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_folliculosum
HQ643544.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_glomeratum
HQ643545.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_graminicola
HQ643546.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_grandisporangium
HQ643550.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Elongisporangium;s__Elongisporangium_helicandrum
HQ643563.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_heterothallicum
HQ643564.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_hydnosporum
HQ643565.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_hypogynum
HQ643570.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_insidiosum
HQ643579.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_intermedium
HQ643669.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_iwayamae
HQ643670.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_jasmonium
HQ643671.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_kashmirense
HQ643672.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_kunmingense
HQ643677.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Phytopythium;s__Phytopythium_litorale
HQ643679.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_longandrum
HQ643680.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_longisporangium
HQ643681.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_lucens
HQ643682.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_lutarium
HQ643683.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_lycopersicum
HQ643686.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_macrosporum
HQ643689.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_mamillatum
HQ643690.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_marsipium
HQ643692.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_mastophorum
HQ643693.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_megalacanthum
HQ643694.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_middletonii
HQ643696.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_minor
HQ643699.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_monospermum
HQ643700.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_multisporum
HQ643704.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_myriotylum
HQ643707.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_nagaii
HQ643709.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_nodosum
HQ643711.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_nunn
HQ643712.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Phytopythium;s__Phytopythium_oedochilum
HQ643714.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_okanoganense
HQ643716.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_oligandrum
HQ643721.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_ornacarpum
HQ643722.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_ornamentatum
HQ643723.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_orthogonon
HQ643727.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_pachycaule
HQ643728.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_paddicum
HQ643737.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_paroecandrum
HQ643738.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_parvum
HQ643739.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_pectinolyticum
HQ643740.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_periilum
HQ643743.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_periplocum
HQ643746.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_phragmitis
HQ643748.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_pleroticum
HQ643750.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_plurisporium
HQ643752.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_polymastum
HQ643753.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_porphyrae
HQ643754.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Elongisporangium;s__Elongisporangium_prolatum
HQ643755.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_pyrilobum
HQ643756.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_radiosum
HQ643757.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_rhizo-oryzae
HQ643760.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_rhizosaccharum
HQ643766.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_rostratifingens
HQ643767.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_rostratum
HQ643770.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_salpingophorum
HQ643771.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_scleroteichum
HQ643772.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_segnitium
HQ643773.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Elongisporangium;s__Elongisporangium_senticosum
HQ643786.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_aff._iwayamae
HQ643790.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_spiculum
HQ643794.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_spinosum
HQ643836.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sukuiense
HQ643854.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_takayamanum
HQ643855.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_tardicrescens
HQ643858.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_terrestre
HQ643945.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_uncinulatum
HQ643949.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Elongisporangium;s__Elongisporangium_undulatum
HQ643953.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_vanterpoolii
HQ643955.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Phytopythium;s__Phytopythium_vexans
HQ643956.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_viniferum
HQ643969.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_violae
HQ643971.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_volutum
HQ643973.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_zingiberis
HQ643974.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_anisospora
HQ643975.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_asterophora
HQ643977.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_delica
HQ643980.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_diclina
HQ643983.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_eccentrica
HQ643988.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_ferax
HQ643989.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_hypogyna
HQ643990.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_lapponica
HQ643992.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_litoralis
HQ643993.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_megasperma
HQ643995.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_mixta
HQ643997.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_monilifera
HQ643999.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_monoica
HQ644005.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_parasitica
HQ644009.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_subterranea
HQ644011.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_terrestris
HQ644014.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_turfosa
HQ644016.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_unispora
HQ644018.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Thraustotheca;s__Thraustotheca_clavata
HQ644019.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Thraustotheca;s__Thraustotheca_terrestris
JF836869.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_schmitthenneri
JN547636.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_kwongonina
JN849470.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Albuginales;f__Albuginaceae;g__Wilsoniana;s__Wilsoniana_amaranthi
JQ029958.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_amnicola
JQ031179.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_violacea
JQ031185.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_radii
JQ031187.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_jagei
JQ031190.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_stigmaticola
JQ256377.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_bilorbang
JQ412768.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_cederbergense
JQ610178.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiogetonaceae;g__Pythiogeton;s__Pythiogeton_zizaniae
JQ610187.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiogetonaceae;g__Pythiogeton;s__Pythiogeton_oblongilobum
JQ610189.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiogetonaceae;g__Pythiogeton;s__Pythiogeton_abundans
JQ610190.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiogetonaceae;g__Pythiogeton;s__Pythiogeton_ramosum
JQ610191.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiogetonaceae;g__Pythiogeton;s__Pythiogeton_uniforme
JQ610198.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiogetonaceae;g__Pythiogeton;s__Pythiogeton_paucisporum
JQ610199.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiogetonaceae;g__Pythiogeton;s__Pythiogeton_proliferatum
JQ976168.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__unidentified;f__unidentified;g__unidentified;s__uncultured_Oomycota
JX970870.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Lagenidium;s__Lagenidium_albertoi
JX982638.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_sordida
KC478667.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_parvispora
KC478761.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_dauci
KC478768.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_lactucae
KC478773.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_cichorii
KC495021.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_cardamines-enneaphyllos
KC529657.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pluvialis
KC875838.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_mekongensis
KC875840.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_prodigiosa
KF366380.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Plasmopara;s__Plasmopara_obducens
KF656775.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Geolegnia;s__Geolegnia_helicoides
KF718129.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_torulosa
KF718143.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_furcata
KJ372244.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_boodjera
KJ372256.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_moyootj
KJ372258.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_balyanboodja
KJ372262.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_condilina
KJ372267.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pseudorosacearum
KJ631538.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_caryae
KJ651416.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_cristata
KJ705086.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_x_stagnum
KJ995579.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_junctum
KM245940.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Brevilegnia;s__Brevilegnia_longicaulis
KP006462.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Verrucalvaceae;g__Aphanomyces;s__Aphanomyces_stellatus
KP271924.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_cf._fagopyri_MK-2015
KP288376.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pseudocryptogea
KP330778.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_litoralis
KP330782.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_minor
KP330785.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_atriplicis-hastatae
KP330797.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_schachtii
KP330800.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_polycarpi
KP330814.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_rumicis
KP330833.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_obovata
KP330842.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_lepigoni
KP330867.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_boni-henrici
KP723167.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_kandovanense
KR632862.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_urerae
KR872846.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_racemosa
KR872872.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_aenigmatica
KT163268.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_intercalaris
KT213553.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Leptolegnia;s__Leptolegnia_eccentrica
KT248974.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_centaureae
KT248986.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_cirsii
KT249016.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_aff._lagoseridis_GLM68027
KT249017.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_tulasnei
KT249036.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_lapsanae
KT249049.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_picridis
KT249081.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_sonchicola
KT249100.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_taraxaci
KT249106.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_elliptica
KT249109.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_microspora
KT249117.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_ovata
KT249123.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_saussureae
KT795480.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_agrimoniae
KT455397.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Halophytophthora;s__Halophytophthora_vesicula
